Learning,Repository,File,Pull Request,URL,Created By,Usage,Last Used,Created At,Updated At
"The getFertilizer function from @svenvw/fdm-core throws an exception if the fertilizer doesn't exist, rather than returning null or undefined.","fdm","fdm-app/app/routes/farm.create.$b_id_farm.$calendar.fertilizers.$b_lu_catalogue.manage.$p_id.tsx","272","","BoraIneviNMI","45","February 23rd 2026, 6:19:29 pm","September 23rd 2025, 12:02:32 pm","September 23rd 2025, 12:02:32 pm"
"In `fdm-app/app/components/blocks/atlas-fields/cultivation-history.tsx`, the NMI API for cultivations guarantees that each year will be unique in the cultivation history data, so using `cultivation.year` as a React list key is safe and won't cause duplicate key warnings.","fdm","fdm-app/app/components/blocks/atlas-fields/cultivation-history.tsx","233","","SvenVw","123","February 23rd 2026, 6:19:29 pm","August 11th 2025, 2:24:32 pm","August 11th 2025, 2:24:32 pm"
"The fdm-app project uses Tailwind CSS v4 (version 4.1.18), which introduced canonical class names aligned with CSS properties. In v4, `wrap-break-word` is the canonical class name for word wrapping, while `break-words` is a v3 compatibility alias. The canonical class names should be preferred to follow v4 conventions.
</learning]
</add_learning]","fdm","fdm-app/app/components/blocks/farm/farm-title.tsx","422","","SvenVw","336","February 23rd 2026, 6:19:29 pm","January 16th 2026, 1:55:54 pm","January 16th 2026, 1:55:54 pm"
"The project uses `react-router` v7, and the `data` function is exported and used for error handling in loaders and actions.","fdm","fdm-app/app/routes/app.addfarm.$b_id_farm.cultivations.$b_lu_catalogue.fertilizers.tsx","16","","SvenVw","76","February 23rd 2026, 6:19:29 pm","December 16th 2024, 11:56:07 am","December 16th 2024, 11:56:07 am"
"In the fdm project, fdm-calculator integration for new features like b_lu_variety is handled in separate updates from the core data model changes. When fdm-core functions are updated to support new fields, fdm-calculator can consume these enhanced APIs without requiring changes in the same PR that introduces the core functionality.","fdm","","","https://github.com/SvenVw/fdm/pull/237","SvenVw","104","February 23rd 2026, 6:19:29 pm","August 13th 2025, 12:33:05 pm","August 13th 2025, 12:33:05 pm"
"A comprehensive farm layout system has been created in `components/custom/farm-layouts/` with `BaseFarmLayout` and `FarmSidebarLayout` components. The system supports both simple and sidebar-based layouts while maintaining consistent header and farm selection functionality across all farm routes.","fdm","fdm-app/app/routes/farm/_b_id_farm/layout.tsx","42","","SvenVw","106","February 23rd 2026, 6:19:29 pm","January 9th 2025, 5:03:37 pm","January 9th 2025, 5:03:37 pm"
"When using `useRemixForm`, the correct type for the `form` prop is `UseRemixFormReturn<T>` from `remix-hook-form`, not `UseFormReturn` from `react-hook-form`.","fdm","fdm-app/app/components/custom/combobox.tsx","16","","SvenVw","8","February 23rd 2026, 6:19:29 pm","December 16th 2024, 11:56:33 am","December 16th 2024, 11:56:33 am"
"In the fdm project, NavLink and other routing components can be imported from either ""react-router"" or ""react-router-dom"" as react-router-dom is included in react-router.","fdm","fdm-app/app/components/custom/farm/farm-title.tsx","124","","SvenVw","46","February 23rd 2026, 6:19:29 pm","April 18th 2025, 3:49:17 pm","April 18th 2025, 3:49:17 pm"
"When cleaning up test data in `afterAll` hooks in `fdm-data/src/cultivations/index.test.ts`, use `fdm.delete(schema.tableName).execute();` to delete rows from a table without dropping the table itself.","fdm","fdm-data/src/cultivations/index.test.ts","9","","SvenVw","18","February 23rd 2026, 6:19:29 pm","November 27th 2024, 12:27:27 pm","November 27th 2024, 12:27:27 pm"
"In the FDM farm management application, storing map viewState (including longitude and latitude coordinates) in sessionStorage is an acceptable design decision. The coordinates primarily represent farm field locations (business data) rather than sensitive personal addresses. Users explicitly grant geolocation permission when enabling the tracking feature via GeolocateControl, and sessionStorage is client-side only. This serves essential functionality for map state restoration across sessions.","fdm","fdm-app/app/routes/farm.$b_id_farm.$calendar.atlas.elevation.tsx","376","","SvenVw","388","February 23rd 2026, 6:19:29 pm","December 15th 2025, 1:19:58 pm","December 15th 2025, 1:19:58 pm"
"The `addField` function in fdm-core should verify field creation within the same transaction by checking the existence of the field and all its required relations (field data, acquiring info, geometry) before resolving its promise.","fdm","fdm-app/app/routes/farm.create.$b_id_farm.atlas.tsx","49","","SvenVw","47","February 23rd 2026, 6:19:29 pm","January 23rd 2025, 4:17:23 pm","January 23rd 2025, 4:17:23 pm"
"When adding multiple harvests in fdm-app, use Promise.all instead of Promise.allSettled to ensure atomic behavior - if one harvest addition fails, all should fail and rollback to maintain data consistency.","fdm","fdm-app/app/routes/farm.create.$b_id_farm.cultivations.$b_lu_catalogue.crop.harvest._index.tsx","71","","SvenVw","80","February 23rd 2026, 6:19:29 pm","February 13th 2025, 10:03:11 am","February 13th 2025, 10:03:11 am"
"In Drizzle ORM, when using `fdm.transaction(async (tx) => { ... })`, any error thrown inside the transaction function automatically triggers a rollback. Therefore, it's unnecessary to call `tx.rollback()` explicitly in the `catch` block.","fdm","fdm-core/src/field.ts","9","","SvenVw","7","February 23rd 2026, 6:19:29 pm","November 28th 2024, 4:39:25 pm","November 28th 2024, 4:39:25 pm"
"In the fdm-app codebase, the `redirect` function should be imported from `react-router`, not `react-router-dom`.","fdm","fdm-app/app/routes/farm.$b_id_farm._index.tsx","45","","SvenVw","47","February 23rd 2026, 6:19:29 pm","January 14th 2025, 5:06:24 pm","January 14th 2025, 5:06:24 pm"
"The `updateField` function in fdm-core has optional parameters that don't need to be passed as undefined. Only `fdm` and `b_id` are required.","fdm","fdm-app/app/routes/farm.create.$b_id_farm.fields.$b_id.tsx","67","","SvenVw","55","February 23rd 2026, 6:19:29 pm","January 31st 2025, 4:34:20 pm","January 31st 2025, 4:34:20 pm"
"In fdm-app Select components, using `undefined` instead of empty string (`""""`) as fallback value prevents empty strings from being submitted as form values. This approach fixes the issue at the UI source rather than requiring backend validation.","fdm","fdm-data/src/cultivations/catalogues/brp.ts","237","","SvenVw","41","February 23rd 2026, 6:19:29 pm","August 13th 2025, 1:05:40 pm","August 13th 2025, 1:05:40 pm"
"In the FDM application, cultivation retrieval logic should be centralized in utility functions rather than duplicated across loader and action functions to improve maintainability and ensure consistent behavior.","fdm","fdm-app/app/routes/farm.$b_id_farm.$calendar.field.new.tsx","116","","SvenVw","34","February 23rd 2026, 6:19:29 pm","April 4th 2025, 4:27:39 pm","April 4th 2025, 4:27:39 pm"
"The `addField` function in fdm-core should use database transactions and field verification to ensure field availability before resolving its promise, eliminating the need for sleep workarounds.","fdm","fdm-app/app/routes/farm.create.$b_id_farm.atlas.tsx","49","","SvenVw","59","February 23rd 2026, 6:19:29 pm","January 23rd 2025, 4:17:23 pm","January 23rd 2025, 4:17:23 pm"
"In the ErrorBoundary component of fdm-app/app/root.tsx, all client errors (400, 401, 403, 404) are intentionally displayed with a 404 status code for security purposes.","fdm","fdm-app/app/root.tsx","84","","SvenVw","13","February 23rd 2026, 6:19:29 pm","February 24th 2025, 11:49:54 am","February 24th 2025, 11:49:54 am"
"In the FDM application, the current field data fetching implementation using Promise.all with individual API calls (getCultivations, getFertilizerApplications, getCurrentSoilData) performs acceptably even with farms containing 90+ fields. No performance issues have been observed in practice with this approach.","fdm","fdm-app/app/routes/farm.$b_id_farm.$calendar.field._index.tsx","274","","SvenVw","108","February 23rd 2026, 6:19:29 pm","September 23rd 2025, 2:37:58 pm","September 23rd 2025, 2:37:58 pm"
"Both getFertilizer and getFertilizers functions in @svenvw/fdm-core perform authorization checks using the user's principal_id to verify farm access before returning fertilizer data.","fdm","fdm-app/app/routes/farm.$b_id_farm.$calendar.field.$b_id.fertilizer.manage.new.$p_id.tsx","272","","BoraIneviNMI","82","February 23rd 2026, 6:19:29 pm","September 24th 2025, 4:02:48 pm","September 24th 2025, 4:02:48 pm"
"In the `fdm-app` project, SvenVw is preparing for migration to Remix v3 and may include type declarations or configurations for v3 features in advance, such as in `vite.config.ts`.","fdm","fdm-app/vite.config.ts","6","","SvenVw","65","February 23rd 2026, 6:19:29 pm","November 25th 2024, 1:42:32 pm","November 25th 2024, 1:42:32 pm"
"The getFertilizer function in @svenvw/fdm-core does not perform authorization checks, unlike getFertilizers which includes a checkPermission call to verify farm access. This means getFertilizer(fdm, p_id) can potentially return fertilizer details for any fertilizer ID without validating user permissions.","fdm","fdm-app/app/routes/farm.$b_id_farm.$calendar.field.$b_id.fertilizer.manage.new.$p_id.tsx","272","","BoraIneviNMI","61","February 23rd 2026, 6:19:29 pm","September 24th 2025, 4:02:48 pm","September 24th 2025, 4:02:48 pm"
"In the fdm-app, `handleActionError` is sometimes called without `await` intentionally. This pattern allows the error to be reported to Sentry for monitoring while the code continues execution to return user-friendly toast messages instead of full page errors. This is particularly used in user-facing flows like sign-in (fdm-app/app/routes/signin._index.tsx) and organization invitations (fdm-app/app/routes/organization.$slug.tsx) to maintain a better user experience.","fdm","","","https://github.com/SvenVw/fdm/pull/466","BoraIneviNMI","34","February 23rd 2026, 6:19:29 pm","February 19th 2026, 1:35:08 pm","February 19th 2026, 1:35:08 pm"
"A shared layout component `FarmLayoutBase` has been created in `components/custom/farm-layout-base.tsx` to maintain consistency across farm-related pages. The component handles farm selection dropdown, breadcrumb navigation, and provides a common layout structure.","fdm","fdm-app/app/routes/farm/_b_id_farm/layout.tsx","42","","SvenVw","305","February 23rd 2026, 6:19:29 pm","January 9th 2025, 5:03:37 pm","January 9th 2025, 5:03:37 pm"
"The project uses React Router v7 which exports a Form component directly from the ""react-router"" package, not from ""@remix-run/react"".","fdm","fdm-app/app/components/custom/fertilizer-applications/form.tsx","138","","SvenVw","66","February 23rd 2026, 6:19:29 pm","May 9th 2025, 4:41:43 pm","May 9th 2025, 4:41:43 pm"
"The organization schema in fdm-core/src/db/schema-authn.ts is managed by better-auth, and modifications to field constraints (like making the slug field non-nullable) should maintain compatibility with better-auth's expectations, even if application code assumes non-null values.","fdm","fdm-core/src/db/schema-authn.ts","124","","SvenVw","105","February 23rd 2026, 6:19:29 pm","April 18th 2025, 4:20:40 pm","April 18th 2025, 4:20:40 pm"
"In fdm-core/src/authorization.ts, getRolesOfPrincipalForResource has a known limitation: when an organization ID is passed as principal_id and the organization has no members, the function incorrectly labels the principal_type as ""user"" instead of ""organization"" because the logic relies on member_user_id presence from a left join to the member table. This is a known issue that doesn't affect functionality but may cause confusion in debugging. The proper fix would be to add a left join to the organization table to definitively identify organization IDs.
<!-- [add_learning]
When calling getFarms with an organization.id in fdm-app routes (e.g., organization.$slug._index.tsx), the intent is to retrieve farms that the organization has access to. This is an intentional use case even though getFarms typically expects a user's principal_id. The resulting role data may have principal_type labeled incorrectly due to a known limitation in getRolesOfPrincipalForResource.","fdm","fdm-app/app/routes/organization.$slug._index.tsx","426","","BoraIneviNMI","146","February 23rd 2026, 6:19:29 pm","February 18th 2026, 3:12:35 pm","February 18th 2026, 3:12:35 pm"
"When using `UseRemixFormReturn` from `remix-hook-form`, it is not a generic type and should be used without type parameters.","fdm","fdm-app/app/components/custom/combobox.tsx","16","","SvenVw","5","February 23rd 2026, 6:19:29 pm","December 16th 2024, 12:28:58 pm","December 16th 2024, 12:28:58 pm"
"In the FDM application, field overview functionality is implemented as a dedicated page accessible via `farm/{farmId}/{calendar}/field` rather than as a direct listing on the dashboard. The dashboard includes a ""Perceelsoverzicht"" quick action card that provides navigation to this comprehensive field management interface.","fdm","fdm-app/app/routes/farm.$b_id_farm._index.tsx","274","","SvenVw","138","February 23rd 2026, 6:19:29 pm","September 23rd 2025, 2:27:07 pm","September 23rd 2025, 2:27:07 pm"
"In fdm-core, functions like getFarm and getField call checkPermission before querying the database. The checkPermission function uses getResourceChain to verify resource existence; when a resource (farm, field, etc.) doesn't exist, getResourceChain returns an empty array, causing checkPermission to throw ""Permission denied"" exception rather than returning null or undefined. This means callers don't need null guards—they should rely on exception handling instead.","fdm","fdm-app/app/routes/farm.$b_id_farm.$calendar.field.new.fields.tsx","410","","BoraIneviNMI","319","February 23rd 2026, 6:19:29 pm","January 22nd 2026, 1:27:36 pm","January 22nd 2026, 1:27:36 pm"
"The farm layout system has been reorganized into separate components (`FarmHeader`, `ContentLayout`, `PaginationLayout`) to support different navigation patterns (sidebar, pagination) while maintaining consistent styling. Each layout component is designed to be used independently or combined as needed.","fdm","fdm-app/app/routes/farm/_b_id_farm/layout.tsx","42","","SvenVw","72","February 23rd 2026, 6:19:29 pm","January 9th 2025, 5:03:37 pm","January 9th 2025, 5:03:37 pm"
"In `fdm-data/src/cultivations/index.test.ts`, the `fdm` object created by `drizzle` does not have an `.end()` method. Cleanup code should not attempt to call `fdm.end();`.","fdm","fdm-data/src/cultivations/index.test.ts","9","","SvenVw","63","February 23rd 2026, 6:19:29 pm","November 27th 2024, 1:15:36 pm","November 27th 2024, 1:15:36 pm"
"The `addField` function in fdm-core should use database transactions to ensure atomicity, and since transactions provide ACID guarantees, awaiting the inserts is sufficient to ensure field availability - no additional verification queries are needed.","fdm","fdm-app/app/routes/farm.create.$b_id_farm.atlas.tsx","49","","SvenVw","20","February 23rd 2026, 6:19:29 pm","January 24th 2025, 12:28:01 pm","January 24th 2025, 12:28:01 pm"
"The `updateField` function in fdm-core has optional parameters after `fdm` and `b_id`. The TypeScript definitions might show 8 required parameters due to a potential version mismatch.","fdm","fdm-app/app/routes/farm.create.$b_id_farm.fields.$b_id.tsx","67","","SvenVw","100","February 23rd 2026, 6:19:29 pm","January 31st 2025, 4:05:14 pm","January 31st 2025, 4:05:14 pm"
"In fdm-app Zod validation schemas, required numeric fields use direct `z.coerce.number()` without preprocessing, while optional numeric fields use `z.preprocess((val) => (val === """" ? undefined : val), z.coerce.number().optional())` to convert empty strings to undefined. This pattern ensures required fields properly validate empty inputs as missing, while optional fields treat empty strings as truly optional.","fdm","fdm-app/app/components/custom/soil/formschema.tsx","153","","SvenVw","21","February 23rd 2026, 6:19:29 pm","June 3rd 2025, 2:27:28 pm","June 3rd 2025, 2:27:28 pm"
"The NMI API Estimates endpoint (`https://api.nmi-agro.nl/estimates`) always returns the fields `b_gwl_ghg`, `b_gwl_glg`, and `cultivations` according to its specification. These fields should be kept as required (not optional) in the TypeScript return type and Zod validation schema in `fdm-app/app/integrations/nmi.ts`.","fdm","fdm-app/app/integrations/nmi.ts","233","","SvenVw","136","February 23rd 2026, 6:19:29 pm","August 11th 2025, 1:55:26 pm","August 11th 2025, 1:55:26 pm"
"The `FarmLayout` component in `components/custom/farm-layout.tsx` provides a reusable layout structure for farm-related pages, with support for farm selection dropdown, customizable breadcrumb titles, and flexible content rendering through either children or Outlet components.","fdm","fdm-app/app/routes/farm/_b_id_farm/layout.tsx","42","","SvenVw","205","February 23rd 2026, 6:19:29 pm","January 9th 2025, 5:03:37 pm","January 9th 2025, 5:03:37 pm"
"When updating React components that use both react-hook-form and React Router v7, it's important to only import types (like UseFormReturn, FieldValues) from react-hook-form to avoid naming conflicts with React Router's Form component. Use `import type { ... } from 'react-hook-form'` syntax to ensure only types are imported.","fdm","fdm-app/app/components/custom/combobox.tsx","138","","SvenVw","79","February 23rd 2026, 6:19:29 pm","May 9th 2025, 4:58:10 pm","May 9th 2025, 4:58:10 pm"
"In the FDM app, file upload validation uses a two-layer approach: client-side Zod schemas (e.g., in fdm-app/app/components/blocks/soil/form-upload.tsx) provide early user-facing error feedback before upload, while server-side upload handlers enforce the same limits for security.","fdm","","","https://github.com/SvenVw/fdm/pull/325","BoraIneviNMI","42","February 23rd 2026, 6:19:29 pm","November 4th 2025, 2:46:46 pm","November 4th 2025, 2:46:46 pm"
"In the FDM application, the fertilizer application route intentionally uses `${calendar}/field/fertilizer` instead of the originally planned `/farm/{farmId}/add/fertilizer` structure. This design decision prioritizes starting from the field list view to provide better field selection workflow before applying fertilizer, rather than direct dashboard-to-action navigation.","fdm","fdm-app/app/routes/farm.$b_id_farm._index.tsx","274","","SvenVw","118","February 23rd 2026, 6:19:29 pm","September 23rd 2025, 2:29:34 pm","September 23rd 2025, 2:29:34 pm"
"The HarvestForm component in fdm-app expects undefined (not 0) for b_lu_yield when no yield information is available, as 0 would incorrectly imply that yield data exists.","fdm","fdm-app/app/routes/farm.$b_id_farm.field.$b_id.cultivation.$b_lu.harvest.$b_id_harvesting.tsx","71","","SvenVw","71","February 23rd 2026, 6:19:29 pm","February 13th 2025, 9:35:59 am","February 13th 2025, 9:35:59 am"
"In fdm-app/app/routes/signin._index.tsx, the redirect destinations are intentionally inconsistent by design: the component defaults new sign-ins to ""/welcome"" (line 101) while the loader redirects authenticated users to ""/farm"" (line 80) and the action uses ""/farm"" as fallback (line 434). This creates appropriate user flows where new users complete their profile via the welcome page, while existing authenticated users bypass it and go directly to the main application.","fdm","fdm-app/app/routes/signin._index.tsx","151","","SvenVw","124","February 23rd 2026, 6:19:29 pm","June 2nd 2025, 12:31:27 pm","June 2nd 2025, 12:31:27 pm"
"The schema defined in fdm-core/src/db/schema-authn.ts follows better-auth's structure and requirements. While the schema is defined in the application code, modifications to it should maintain compatibility with better-auth's expectations.","fdm","fdm-core/src/db/schema-authn.ts","124","","SvenVw","53","February 23rd 2026, 6:19:29 pm","April 18th 2025, 4:20:40 pm","April 18th 2025, 4:20:40 pm"
"In the context of this React Router v7 project, it's important to follow the pattern of importing only the types (like UseFormReturn) from ""react-hook-form"" while importing the Form component from ""react-router"" to avoid naming conflicts.","fdm","fdm-app/app/components/custom/combobox.tsx","138","","SvenVw","76","February 23rd 2026, 6:19:29 pm","May 9th 2025, 4:53:44 pm","May 9th 2025, 4:53:44 pm"
"Authentication for the “app.addfarm.new” route is already handled globally in “fdm-app/app/routes/app.tsx,” automatically redirecting unauthenticated users to the SignIn page.","fdm","fdm-app/app/routes/app.addfarm.new.tsx","23","","SvenVw","102","February 23rd 2026, 6:19:29 pm","December 19th 2024, 2:20:44 pm","December 19th 2024, 2:20:44 pm"
"The project uses React Router v7 which exports a Form component directly from the ""react-router"" package, making importing from ""@remix-run/react"" unnecessary.","fdm","fdm-app/app/components/custom/fertilizer-applications/form.tsx","138","","SvenVw","69","February 23rd 2026, 6:19:29 pm","May 9th 2025, 4:41:43 pm","May 9th 2025, 4:41:43 pm"
"In the fdm project, fdm-core and fdm-app are updated together as part of a monorepo structure, which eliminates legacy data concerns when new fields like b_isproductive are introduced. Both packages are synchronized, so there's no need for defensive coding against undefined values for newly introduced database fields.","fdm","fdm-app/app/routes/farm.$b_id_farm.$calendar.norms.tsx","279","","SvenVw","112","February 23rd 2026, 6:19:29 pm","September 26th 2025, 10:34:50 am","September 26th 2025, 10:34:50 am"
"The fdm-app project uses a custom Tailwind CSS utility `-translate-1/2` that sets both `--tw-translate-x` and `--tw-translate-y` to `calc(calc(1/2 * 100%) * -1)`, effectively centering elements with `translate: var(--tw-translate-x) var(--tw-translate-y)`. This is a valid project-specific utility and should not be flagged as invalid.","fdm","fdm-app/app/components/blocks/rotation/variety-selector.tsx","377","","BoraIneviNMI","383","February 23rd 2026, 6:19:29 pm","January 15th 2026, 10:39:45 am","January 15th 2026, 10:39:45 am"
"The application uses Dutch language for UI elements and labels (e.g., ""Account"" as the breadcrumb label) while maintaining English terms in URL paths (e.g., ""/user"").","fdm","fdm-app/app/routes/user._index.tsx","124","","SvenVw","9","February 23rd 2026, 1:18:33 pm","April 18th 2025, 3:48:26 pm","April 18th 2025, 3:48:26 pm"
"i18n will be added in future PRs; for now, hardcoded Dutch text is acceptable until a translation system is implemented.","fdm","fdm-app/app/routes/app.addfarm.$b_id_farm.fields.tsx","6","","SvenVw","32","February 23rd 2026, 1:18:33 pm","November 25th 2024, 3:50:16 pm","November 25th 2024, 3:50:16 pm"
"In the fdm-app codebase, the component directory structure is intentionally organized with `~/components/custom/` containing small reusable components that can be used in both blocks and pages, while `~/components/blocks/` contains larger block-level components. Not all components should be migrated from custom to blocks - the custom directory serves as a library of smaller utility components.","fdm","fdm-app/app/routes/farm.$b_id_farm.$calendar.field._index.tsx","163","","SvenVw","5","February 23rd 2026, 12:39:24 pm","June 10th 2025, 5:05:38 pm","June 10th 2025, 5:05:38 pm"
"The authentication schema (fdm-authn) is based on better-auth's schema structure, which does not include `updatedAt` fields for tables like `organization`.","fdm","fdm-core/src/db/schema-authn.ts","124","","SvenVw","19","February 20th 2026, 4:13:56 pm","April 18th 2025, 4:18:44 pm","April 18th 2025, 4:18:44 pm"
"The `getUsersInOrganization` function in fdm-core/src/organization.ts needed to include id and email fields for users, which was fixed in commit b17fac16c9e5a0de56d0346e712b2ce966d305d5.","fdm","fdm-core/src/organization.ts","124","","SvenVw","96","February 20th 2026, 4:13:56 pm","April 18th 2025, 4:51:48 pm","April 18th 2025, 4:51:48 pm"
"The `getUsersInOrganization` function in fdm-core/src/organization.ts needs to include user ID and email fields to support role updates and user removal operations, which will be fixed in a future commit (b17fac16c9e5a0de56d0346e712b2ce966d305d5).","fdm","fdm-core/src/organization.ts","124","","SvenVw","116","February 20th 2026, 4:13:56 pm","April 18th 2025, 4:51:48 pm","April 18th 2025, 4:51:48 pm"
"The `getUsersInOrganization` function in fdm-core/src/organization.ts will be updated in commit b17fac16c9e5a0de56d0346e712b2ce966d305d5 to include id and email fields, which are necessary for subsequent role updates and user removal operations.","fdm","fdm-core/src/organization.ts","124","","SvenVw","120","February 20th 2026, 4:13:56 pm","April 18th 2025, 4:51:48 pm","April 18th 2025, 4:51:48 pm"
"In fdm-app, Role types (e.g., ""owner"", ""advisor"", ""researcher"") are intentionally defined locally rather than imported from fdm-core. Helper methods like checkPermission work with arbitrary role strings, and the Role type is only explicitly specified when displaying roles in the UI. The team plans to export a centralized Role type from fdm-core when they revamp the permissions and roles system, but for now local definitions are preferred.","fdm","fdm-app/app/components/blocks/farm/farm-card.tsx","426","","BoraIneviNMI","22","February 20th 2026, 4:13:56 pm","February 18th 2026, 1:55:57 pm","February 18th 2026, 1:55:57 pm"
"For the FDM project, keep error handling simple when basic error notification (console.error) is sufficient, avoiding unnecessary complexity in error handling mechanisms.","fdm","fdm-core/rollup.config.js","49","","SvenVw","14","February 20th 2026, 4:13:56 pm","January 24th 2025, 12:56:40 pm","January 24th 2025, 12:56:40 pm"
"Always use session.principal_id instead of session.user.id when accessing the user identifier from the session object for consistency across the codebase.","fdm","fdm-app/app/routes/farm.$b_id_farm.atlas.elevation.tsx","87","","SvenVw","2","February 20th 2026, 4:13:56 pm","March 4th 2025, 9:54:23 am","March 4th 2025, 9:54:23 am"
"The `handleError` function always throws an error, but for better code clarity and to satisfy TypeScript's control flow analysis, it's recommended to add a return statement after it, even though it will never be reached.","fdm","fdm-core/src/farm.ts","64","","SvenVw","17","February 20th 2026, 4:13:56 pm","January 30th 2025, 9:51:44 am","January 30th 2025, 9:51:44 am"
"In fdm-app, hasPermission is intentionally used with fail-open behavior (typically with fallback: true). The UI layer allows actions to proceed even if permission checks fail or error. The actual backend actions are responsible for enforcing authorization and will fail with errors if the user lacks permission. This is a deliberate architectural choice to maintain user experience while ensuring security at the action layer.","fdm","","","https://github.com/SvenVw/fdm/pull/344","BoraIneviNMI","18","February 20th 2026, 4:13:56 pm","November 25th 2025, 4:36:07 pm","November 25th 2025, 4:36:07 pm"
"In the FDM codebase, functions that insert/create data (like `addFarm`) intentionally use `principal_id: string` instead of `PrincipalId` to enforce that only a single principal ID can be used for creation operations, while read operations use the more flexible `PrincipalId` type which supports both single IDs and arrays of IDs.","fdm","fdm-core/src/farm.ts","87","","SvenVw","51","February 20th 2026, 4:13:56 pm","March 4th 2025, 10:03:04 am","March 4th 2025, 10:03:04 am"
"Use session.principal_id instead of session.user.id when accessing the user identifier from the session object.","fdm","fdm-app/app/routes/farm.$b_id_farm.atlas.elevation.tsx","87","","SvenVw","2","February 20th 2026, 4:13:56 pm","March 3rd 2025, 5:17:59 pm","March 3rd 2025, 5:17:59 pm"
"The `getUsersInOrganization` function in fdm-core/src/organization.ts currently returns only firstname, surname, image, and role, but needs to include id and email fields to support downstream operations like role updates and user removal. This will be fixed in commit b17fac16c9e5a0de56d0346e712b2ce966d305d5.","fdm","fdm-core/src/organization.ts","124","","SvenVw","98","February 20th 2026, 4:13:56 pm","April 18th 2025, 4:51:48 pm","April 18th 2025, 4:51:48 pm"
"In React Router v7, the `json()` function has been replaced with `data()` for creating responses in loaders and actions.","fdm","fdm-app/app/routes/farm.create.$b_id_farm.$calendar.access.tsx","132","","SvenVw","24","February 20th 2026, 3:20:02 pm","April 29th 2025, 1:28:44 pm","April 29th 2025, 1:28:44 pm"
"In markdown code blocks, title attributes should not have spaces between `title=` and the title string (e.g., ```typescript title=""Example""```). Having a space will prevent the title from being properly parsed.","fdm","","","https://github.com/SvenVw/fdm/pull/50","BrentWHR","2","February 20th 2026, 2:20:03 pm","January 17th 2025, 9:30:02 am","January 17th 2025, 9:30:02 am"
"When using `updateField` from fdm-core, all 8 parameters must be provided in order: fdm, b_id, b_name, b_geometry, b_area, b_id_source, b_id_farm, and b_id_farm_source.","fdm","fdm-app/app/routes/farm.create.$b_id_farm.fields.$b_id.tsx","67","","SvenVw","38","February 20th 2026, 12:34:24 pm","January 31st 2025, 4:05:14 pm","January 31st 2025, 4:05:14 pm"
"Functions in the fdm-calculator with ""NL2025"" in their names are specifically designed for Netherlands 2025 agricultural norms calculation and hardcoded 2025 dates are appropriate in this context, as different years would have separate calculation modules.","fdm","fdm-calculator/src/norms/nl/2025/stikstofgebruiksnorm.ts","156","","SvenVw","39","February 20th 2026, 12:34:24 pm","July 21st 2025, 2:06:07 pm","July 21st 2025, 2:06:07 pm"
"In pnpm workspaces, the syntax `""typescript"": ""catalog:""` is valid and correct. It references the version defined in the workspace's catalog section in pnpm-workspace.yaml, allowing consistent dependency versions across packages in a monorepo.","fdm","fdm-docs/package.json","147","","SvenVw","14","February 20th 2026, 11:43:35 am","May 28th 2025, 9:57:19 am","May 28th 2025, 9:57:19 am"
"When writing tests for fdm-core, avoid using Vitest's `vi` mocking utilities and prefer manual JavaScript mocks.","fdm","fdm-core/src/catalogues.ts","95","","SvenVw","14","February 20th 2026, 11:43:35 am","March 6th 2025, 4:23:48 pm","March 6th 2025, 4:23:48 pm"
"In pnpm workspaces, the syntax `""typescript"": ""catalog:""` is valid and correct. It references the version defined in the workspace's catalog section in pnpm-workspace.yaml, allowing consistent dependency versions across packages in a monorepo. The catalog: syntax without a package name is the shorthand for referencing the default catalog.","fdm","fdm-docs/package.json","147","","SvenVw","14","February 20th 2026, 11:43:35 am","May 28th 2025, 9:57:19 am","May 28th 2025, 9:57:19 am"
"When suggesting external dependencies in Rollup configuration, only include packages that are actually listed in the package's dependencies or peerDependencies.","fdm","fdm-data/rollup.config.js","49","","SvenVw","8","February 20th 2026, 11:43:35 am","January 24th 2025, 12:46:49 pm","January 24th 2025, 12:46:49 pm"
